# simplex_record_ms_cs_detail.txt — per-scenario ms/cs values and points
# For the selected (LB) simplex each iteration
# ms_val, ms_pt (coordinates), ms_bary (barycentric)
# cs_val, cs_pt (coordinates), cs_bary (barycentric)

=== Iter 1 ===
simplex: T1  verts=(0, 1, 3, 4)  cs_status=full  ms_status=none
    s=2  cs=9.559332e-01  pt=(-9.996669, -99.994614, 1.648255)  bary=(0.999833, 0.508214, -0.999807, 0.491759)
    s=3  cs=1.054552e+00  pt=(-10.000000, -100.000000, 0.350282)  bary=(1.000000, 0.501751, -1.000000, 0.498249)
    s=4  cs=9.683376e-01  pt=(-9.999985, -99.999972, 0.393764)  bary=(0.999999, 0.501969, -0.999999, 0.498031)
    s=5  cs=9.431593e-01  pt=(9.459346, 99.747182, -0.000055)  bary=(0.027033, -0.498736, 0.971703, 0.500000)
    s=6  cs=1.010819e+00  pt=(-9.999583, -99.999308, 1.964071)  bary=(0.999979, 0.509817, -0.999976, 0.490180)
    s=7  cs=9.467113e-01  pt=(-9.988177, -99.980416, 0.819723)  bary=(0.999409, 0.504001, -0.999311, 0.495901)
    s=8  cs=1.010766e+00  pt=(-9.999996, -99.999992, 0.663667)  bary=(1.000000, 0.503318, -1.000000, 0.496682)
    s=9  cs=9.569452e-01  pt=(-10.000000, -100.000000, 1.459518)  bary=(1.000000, 0.507298, -1.000000, 0.492702)
    s=10  cs=9.643371e-01  pt=(-9.999985, -99.999970, 0.278259)  bary=(0.999999, 0.501391, -0.999999, 0.498609)
    s=11  cs=1.034549e+00  pt=(-9.999994, -99.999989, 1.139265)  bary=(1.000000, 0.505696, -1.000000, 0.494304)
    s=12  cs=9.517296e-01  pt=(-9.999943, -99.999905, 0.699742)  bary=(0.999997, 0.503498, -0.999997, 0.496501)
    s=13  cs=9.741646e-01  pt=(-10.000000, -100.000000, 1.342860)  bary=(1.000000, 0.506714, -1.000000, 0.493286)
    s=14  cs=9.928688e-01  pt=(-9.999384, -99.998898, 2.125303)  bary=(0.999969, 0.510621, -0.999964, 0.489373)
    s=15  cs=1.071032e+00  pt=(-9.999997, -99.999995, 1.852303)  bary=(1.000000, 0.509261, -1.000000, 0.490738)
    s=16  cs=9.545154e-01  pt=(-9.999973, -99.999950, 0.744815)  bary=(0.999999, 0.503724, -0.999998, 0.496276)
    s=17  cs=9.535725e-01  pt=(-9.999977, -99.999948, 0.828291)  bary=(0.999999, 0.504141, -0.999999, 0.495859)
    s=18  cs=9.404102e-01  pt=(-9.975549, -99.956689, 0.452689)  bary=(0.998777, 0.502047, -0.998561, 0.497737)
    s=19  cs=9.480956e-01  pt=(-9.999960, -99.999936, 0.454937)  bary=(0.999998, 0.502274, -0.999998, 0.497725)
    s=20  cs=9.488349e-01  pt=(-10.000000, -100.000000, 0.751429)  bary=(1.000000, 0.503757, -1.000000, 0.496243)
    s=21  cs=9.595963e-01  pt=(-9.999974, -99.999958, -0.099289)  bary=(0.999999, 0.499503, -0.999999, 0.500496)
    s=22  cs=9.426978e-01  pt=(-10.000000, -41.350475, 0.343211)  bary=(1.000000, 0.208468, -0.706752, 0.498284)
    s=23  cs=1.000961e+00  pt=(-9.999260, -99.998439, 2.222670)  bary=(0.999963, 0.511106, -0.999955, 0.488887)
    s=24  cs=9.616879e-01  pt=(-9.999962, -99.999924, 1.176609)  bary=(0.999998, 0.505883, -0.999998, 0.494117)
    s=25  cs=1.049614e+00  pt=(-10.000000, -100.000000, 1.088560)  bary=(1.000000, 0.505443, -1.000000, 0.494557)
    s=26  cs=9.407572e-01  pt=(9.999561, 99.999344, 0.467825)  bary=(0.000022, -0.497658, 0.999975, 0.497661)
    s=27  cs=9.472980e-01  pt=(-9.993302, -99.986480, 1.160935)  bary=(0.999665, 0.505737, -0.999598, 0.494195)
    s=28  cs=9.414352e-01  pt=(-9.999797, -99.999592, 0.507949)  bary=(0.999990, 0.502538, -0.999988, 0.497460)
    s=29  cs=1.078299e+00  pt=(-9.999998, -99.999996, 1.952878)  bary=(1.000000, 0.509764, -1.000000, 0.490236)
    s=30  cs=9.664952e-01  pt=(-9.999983, -99.999965, 0.914000)  bary=(0.999999, 0.504570, -0.999999, 0.495430)
    s=31  cs=9.435536e-01  pt=(-9.994192, -99.988763, 0.655307)  bary=(0.999710, 0.503220, -0.999653, 0.496723)
    s=32  cs=9.445914e-01  pt=(-9.996258, -99.991928, 0.507553)  bary=(0.999813, 0.502497, -0.999773, 0.497462)
    s=33  cs=1.104680e+00  pt=(-10.000000, -100.000000, 2.382804)  bary=(1.000000, 0.511914, -1.000000, 0.488086)
    s=34  cs=1.036112e+00  pt=(-9.999995, -99.999990, 1.369934)  bary=(1.000000, 0.506850, -1.000000, 0.493150)
    s=35  cs=9.656042e-01  pt=(-9.999928, -99.999843, 1.873803)  bary=(0.999996, 0.509368, -0.999996, 0.490631)
    s=36  cs=1.055624e+00  pt=(-10.000000, -100.000000, 2.023567)  bary=(1.000000, 0.510118, -1.000000, 0.489882)
    s=37  cs=9.560079e-01  pt=(-10.000000, -100.000000, 1.750168)  bary=(1.000000, 0.508751, -1.000000, 0.491249)
    s=38  cs=9.879020e-01  pt=(-9.999989, -99.999977, 1.648080)  bary=(0.999999, 0.508240, -0.999999, 0.491760)
    s=39  cs=9.828708e-01  pt=(-9.999995, -99.999989, 0.120512)  bary=(1.000000, 0.500603, -1.000000, 0.499397)
    s=40  cs=9.686117e-01  pt=(-9.999984, -99.999971, -0.373180)  bary=(0.999999, 0.498134, -0.999999, 0.501866)
    s=41  cs=9.438440e-01  pt=(-2.008308, -100.000000, 0.000001)  bary=(0.600415, 0.500000, -0.600415, 0.500000)
    s=42  cs=9.514554e-01  pt=(-9.999970, -99.999939, 0.206169)  bary=(0.999999, 0.501031, -0.999998, 0.498969)
    s=43  cs=1.099829e+00  pt=(-9.999998, -99.999995, -1.970375)  bary=(1.000000, 0.490148, -1.000000, 0.509852)
